title	genres	movieId	avg_movie_rating	rating_count	rating_std	release_year	genre_count	no_genre	genre_Action	genre_Adventure	genre_Animation	genre_Children	genre_Comedy	genre_Crime	genre_Documentary	genre_Drama	genre_Fantasy	genre_Film-Noir	genre_Horror	genre_IMAX	genre_Musical	genre_Mystery	genre_Romance	genre_Sci-Fi	genre_Thriller	genre_War	genre_Western
string	string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
meta	meta																										
Toy Story (1995)	Adventure|Animation|Children|Comedy|Fantasy	1	3.92126	49699	0.888991	1995	5	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Jumanji (1995)	Adventure|Children|Fantasy	2	3.21198	22243	0.95115	1995	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Grumpier Old Men (1995)	Comedy|Romance	3	3.15103	12736	1.0066	1995	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Waiting to Exhale (1995)	Comedy|Drama|Romance	4	2.86139	2756	1.0957	1995	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Father of the Bride Part II (1995)	Comedy	5	3.06459	12161	0.98214	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heat (1995)	Action|Crime|Thriller	6	3.83493	23899	0.880468	1995	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Sabrina (1995)	Comedy|Romance	7	3.36648	12961	0.955883	1995	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tom and Huck (1995)	Adventure|Children	8	3.14205	1415	0.966353	1995	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudden Death (1995)	Action	9	3.00492	3960	0.960203	1995	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GoldenEye (1995)	Action|Adventure|Thriller	10	3.43003	29005	0.859035	1995	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
American President, The (1995)	Comedy|Drama|Romance	11	3.66771	18162	0.895807	1995	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Dracula: Dead and Loving It (1995)	Comedy|Horror	12	2.61977	3845	1.12333	1995	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Balto (1995)	Adventure|Animation|Children	13	3.27341	1463	0.980011	1995	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nixon (1995)	Drama	14	3.43208	6022	0.940845	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cutthroat Island (1995)	Action|Adventure|Romance	15	2.72199	2910	1.08453	1995	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Casino (1995)	Crime|Drama	16	3.78746	17394	0.863681	1995	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Sense and Sensibility (1995)	Drama|Romance	17	3.96867	20670	0.95157	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Four Rooms (1995)	Comedy	18	3.37363	5203	1.02924	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace Ventura: When Nature Calls (1995)	Comedy	19	2.60741	20938	1.15148	1995	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Money Train (1995)	Action|Comedy|Crime|Drama|Thriller	20	2.88075	4084	0.930137	1995	5	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Get Shorty (1995)	Comedy|Crime|Thriller	21	3.58169	24116	0.917261	1995	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Copycat (1995)	Crime|Drama|Horror|Mystery|Thriller	22	3.3194	9928	0.921065	1995	5	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0
Assassins (1995)	Action|Crime|Thriller	23	3.14824	4250	0.949553	1995	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Powder (1995)	Drama|Sci-Fi	24	3.19985	7971	1.04894	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Leaving Las Vegas (1995)	Drama|Romance	25	3.68951	21553	1.03443	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Othello (1995)	Drama	26	3.62886	2755	0.92566	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Now and Then (1995)	Children|Drama	27	3.41352	1642	0.937641	1995	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Persuasion (1995)	Drama|Romance	28	4.05812	3157	0.882261	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
City of Lost Children, The (Cité des enfants perdus, La) (1995)	Adventure|Drama|Fantasy|Mystery|Sci-Fi	29	3.95223	8520	0.975643	1995	5	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	Crime|Drama	30	3.63388	1281	0.977397	1995	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Dangerous Minds (1995)	Drama	31	3.25034	9435	0.935127	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	Mystery|Sci-Fi|Thriller	32	3.89805	44980	0.867135	1995	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
Wings of Courage (1995)	Adventure|IMAX|Romance	33	3.00769	65	1.05879	1995	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Babe (1995)	Children|Drama	34	3.64309	32255	1.0915	1995	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Carrington (1995)	Drama|Romance	35	3.50167	1493	0.975829	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Dead Man Walking (1995)	Crime|Drama	36	3.94272	20809	0.890923	1995	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Across the Sea of Time (1995)	Documentary|IMAX	37	3.01765	85	1.1788	1995	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
It Takes Two (1995)	Children|Comedy	38	2.85779	552	1.25626	1995	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clueless (1995)	Comedy|Romance	39	3.41365	26255	0.977634	1995	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cry, the Beloved Country (1995)	Drama	40	3.64673	886	0.991162	1995	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Richard III (1995)	Drama|War	41	3.8521	4689	0.925808	1995	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
